timestamp,currentCharge,application_workload,brightness,gps,power_saving,refresh_rate
1709579174,1865010,browsing,0,0,1,120
1709579294,1865010,browsing,0,1,0,60
1709579415,1865010,browsing,0,1,0,120
1709579536,1865010,browsing,0,1,1,60
1709579657,1865010,browsing,0,1,1,120
1709579778,1842540,browsing,20,0,0,60
1709579898,1842540,browsing,20,0,0,120
1709580019,1842540,browsing,20,0,1,60
1709580140,1842540,browsing,20,0,1,120
1709580261,1842540,browsing,20,1,0,60
1709580382,1820070,browsing,20,1,0,120
1709580503,1820070,browsing,20,1,1,60
1709580623,1820070,browsing,20,1,1,120
1709580744,1820070,browsing,40,0,0,60
1709580865,1797600,browsing,40,0,0,120
1709580986,1797600,browsing,40,0,1,60
1709581107,1797600,browsing,40,0,1,120
1709581227,1797600,browsing,40,1,0,60
1709581348,1775130,browsing,40,1,0,120
1709581469,1775130,browsing,40,1,1,60
1709581590,1752660,browsing,40,1,1,120
1709581710,1752660,browsing,60,0,0,60
1709581831,1752660,browsing,60,0,0,120
1709581952,1730190,browsing,60,0,1,60
1709582073,1730190,browsing,60,0,1,120
1709582194,1707720,browsing,60,1,0,60
1709582314,1707720,browsing,60,1,0,120
1709582435,1685250,browsing,60,1,1,60
1709582556,1685250,browsing,60,1,1,120
1709582677,1662780,browsing,80,0,0,60
1709582798,1662780,browsing,80,0,0,120
1709582918,1640310,browsing,80,0,1,60
1709583039,1640310,browsing,80,0,1,120
1709583161,1640310,browsing,80,1,0,60
1709583282,1617840,browsing,80,1,0,120
1709583403,1617840,browsing,80,1,1,60
1709583524,1595370,browsing,80,1,1,120
1709583644,1595370,browsing,100,0,0,60
1709583765,1572900,browsing,100,0,0,120
1709583886,1550430,browsing,100,0,1,60
1709584007,1550430,browsing,100,0,1,120
1709584128,1527960,browsing,100,1,0,60
1709584249,1527960,browsing,100,1,0,120
1709584369,1527960,browsing,100,1,1,60
